2012,1,27,16,2932
2012,2,22,16,3189
2012,3,31,16,3185
2012,4,23,16,4001
2012,5,25,16,3356
2012,6,27,11,3358
2012,7,30,11,3033
2012,8,25,11,2953
2012,9,50,11,2855
2012,10,27,21,2868
2012,11,26,21,2615
2012,12,39,21,2803
2012,13,33,21,2711
2012,14,33,20,2935
2012,15,32,20,3098
2012,16,32,20,3056
2012,17,48,20,3022
2012,18,32,20,3090
2012,19,33,19,3100
2012,20,33,19,3167
2012,21,25,19,2982
2012,22,35,19,2719
2012,23,28,8,2550
2012,24,32,8,2495
2012,25,27,8,2381
2012,26,47,8,2471
2012,27,27,17,2597
2012,28,27,17,2949
2012,29,28,17,3168
2012,30,36,17,3214
2012,31,35,17,2980
2012,32,35,12,2857
2012,33,34,12,2650
2012,34,35,12,2669
2012,35,35,12,2533
2012,36,44,10,2343
2012,37,43,10,2619
2012,38,47,10,2579
2012,39,43,10,2517
2012,40,39,13,2575
2012,41,43,13,2638
2012,42,30,13,2695
2012,43,31,13,2768
2012,44,22,13,2605
2012,45,25,22,2578
2012,46,29,22,2581
2012,47,27,22,2504
2012,48,39,22,2542
2012,49,23,22,2681
2012,50,23,22,2604
2012,51,22,22,2497
2012,52,21,22,2812
2013,1,24,15,3022
2013,2,27,15,3120
2013,3,25,15,3133
2013,4,23,15,3190
2013,5,23,15,3036
2013,6,18,22,2599
2013,7,20,22,3033
2013,8,33,22,2942
2013,9,42,22,2753
2013,10,27,10,2713
2013,11,24,10,2500
2013,12,26,10,2148
2013,13,36,10,2343
2013,14,32,19,2395
2013,15,29,19,2500
2013,16,37,19,2688
2013,17,40,19,2699
2013,18,26,19,2854
2013,19,23,17,2747
2013,20,29,17,2519
2013,21,35,17,2726
2013,22,31,17,2733
2013,23,27,12,2434
2013,24,79,12,2330
2013,25,116,12,2755
2013,26,52,12,2413
2013,27,26,15,2368
2013,28,26,15,2371
2013,29,26,15,2543
2013,30,29,15,2423
2013,31,23,15,2476
2013,32,23,15,2426
2013,33,25,15,2700
2013,34,28,15,2565
2013,35,27,15,2380
2013,36,18,19,2262
2013,37,25,19,2211
2013,38,27,19,2373
2013,39,34,19,2180
2013,40,26,19,2301
2013,41,25,19,2429
2013,42,23,19,2429
2013,43,30,19,2401
