year,week,psi,rain,patient,result
2012.0,1.0,27.0,16.0,2932.0,2892.957275390625
2012.0,2.0,22.0,16.0,3189.0,2892.3447265625
2012.0,3.0,31.0,16.0,3185.0,2886.7802734375
2012.0,4.0,23.0,16.0,4001.0,2887.228759765625
2012.0,5.0,25.0,16.0,3356.0,2884.138427734375
2012.0,6.0,27.0,11.0,3358.0,2875.6142578125
2012.0,7.0,30.0,11.0,3033.0,2872.174560546875
2012.0,8.0,25.0,11.0,2953.0,2871.55859375
2012.0,9.0,50.0,11.0,2855.0,2860.371826171875
2012.0,10.0,27.0,21.0,2868.0,2876.945556640625
2012.0,11.0,26.0,21.0,2615.0,2874.917724609375
2012.0,12.0,39.0,21.0,2803.0,2867.903076171875
2012.0,13.0,33.0,21.0,2711.0,2867.6513671875
2012.0,14.0,33.0,20.0,2935.0,2864.181884765625
2012.0,15.0,32.0,20.0,3098.0,2862.15234375
2012.0,16.0,32.0,20.0,3056.0,2859.76611328125
2012.0,17.0,48.0,20.0,3022.0,2851.68505859375
2012.0,18.0,32.0,20.0,3090.0,2854.993408203125
2012.0,19.0,33.0,19.0,3100.0,2851.168212890625
2012.0,20.0,33.0,19.0,3167.0,2848.78173828125
2012.0,21.0,25.0,19.0,2982.0,2849.256591796875
2012.0,22.0,35.0,19.0,2719.0,2843.293701171875
2012.0,23.0,28.0,8.0,2550.0,2831.515380859375
2012.0,24.0,32.0,8.0,2495.0,2827.71337890625
2012.0,25.0,27.0,8.0,2381.0,2827.10595703125
2012.0,26.0,47.0,8.0,2471.0,2817.63427734375
2012.0,27.0,27.0,17.0,2597.0,2832.0634765625
2012.0,28.0,27.0,17.0,2949.0,2829.677978515625
2012.0,29.0,28.0,17.0,3168.0,2826.933349609375
2012.0,30.0,36.0,17.0,3214.0,2821.6806640625
2012.0,31.0,35.0,17.0,2980.0,2819.6513671875
2012.0,32.0,35.0,12.0,2857.0,2811.882568359375
2012.0,33.0,34.0,12.0,2650.0,2809.854248046875
2012.0,34.0,35.0,12.0,2669.0,2807.112060546875
2012.0,35.0,35.0,12.0,2533.0,2804.7265625
2012.0,36.0,44.0,10.0,2343.0,2796.984375
2012.0,37.0,43.0,10.0,2619.0,2794.95458984375
2012.0,38.0,47.0,10.0,2579.0,2791.14453125
2012.0,39.0,43.0,10.0,2517.0,2790.18310546875
2012.0,40.0,39.0,13.0,2575.0,2792.43994140625
2012.0,41.0,43.0,13.0,2638.0,2788.621826171875
2012.0,42.0,30.0,13.0,2695.0,2790.897216796875
2012.0,43.0,31.0,13.0,2768.0,2788.153076171875
2012.0,44.0,22.0,13.0,2605.0,2789.009765625
2012.0,45.0,25.0,22.0,2578.0,2795.21533203125
2012.0,46.0,29.0,22.0,2581.0,2791.375732421875
2012.0,47.0,27.0,22.0,2504.0,2789.7138671875
2012.0,48.0,39.0,22.0,2542.0,2782.97412109375
2012.0,49.0,23.0,22.0,2681.0,2786.393798828125
2012.0,50.0,23.0,22.0,2604.0,2784.0068359375
2012.0,51.0,22.0,22.0,2497.0,2781.984375
2012.0,52.0,21.0,22.0,2812.0,2779.962646484375
2013.0,1.0,24.0,15.0,3022.0,2892.52880859375
2013.0,2.0,27.0,15.0,3120.0,2889.08837890625
2013.0,3.0,25.0,15.0,3133.0,2887.414306640625
2013.0,4.0,23.0,15.0,3190.0,2885.74169921875
2013.0,5.0,23.0,15.0,3036.0,2883.36083984375
2013.0,6.0,18.0,22.0,2599.0,2890.37841796875
2013.0,7.0,20.0,22.0,3033.0,2887.282470703125
2013.0,8.0,33.0,22.0,2942.0,2880.266845703125
2013.0,9.0,42.0,22.0,2753.0,2874.68359375
2013.0,10.0,27.0,10.0,2713.0,2864.6064453125
2013.0,11.0,24.0,10.0,2500.0,2863.28662109375
2013.0,12.0,26.0,10.0,2148.0,2860.19775390625
2013.0,13.0,36.0,10.0,2343.0,2854.281982421875
2013.0,14.0,32.0,19.0,2395.0,2863.05908203125
2013.0,15.0,29.0,19.0,2500.0,2861.743408203125
2013.0,16.0,37.0,19.0,2688.0,2856.507568359375
2013.0,17.0,40.0,19.0,2699.0,2853.053466796875
2013.0,18.0,26.0,19.0,2854.0,2855.66015625
2013.0,19.0,23.0,17.0,2747.0,2852.1806640625
2013.0,20.0,29.0,17.0,2519.0,2847.65283203125
2013.0,21.0,35.0,17.0,2726.0,2843.127197265625
2013.0,22.0,31.0,17.0,2733.0,2842.16845703125
2013.0,23.0,27.0,12.0,2434.0,2835.804443359375
2013.0,24.0,79.0,12.0,2330.0,2815.047119140625
2013.0,25.0,116.0,12.0,2755.0,2799.77783203125
2013.0,26.0,52.0,12.0,2413.0,2819.77099609375
2013.0,27.0,26.0,15.0,2368.0,2829.8701171875
2013.0,28.0,26.0,15.0,2371.0,2827.485595703125
2013.0,29.0,26.0,15.0,2543.0,2825.10107421875
