year,week,psi,rain,patient,result
2012.0,1.0,27.0,16.0,2932.0,2756.33984375
2012.0,2.0,22.0,16.0,3189.0,2753.595458984375
2012.0,3.0,31.0,16.0,3185.0,2764.716552734375
2012.0,4.0,23.0,16.0,4001.0,2759.002197265625
2012.0,5.0,25.0,16.0,3356.0,2763.195068359375
2012.0,6.0,27.0,11.0,3358.0,2776.020263671875
2012.0,7.0,30.0,11.0,3033.0,2781.215087890625
2012.0,8.0,25.0,11.0,2953.0,2778.440185546875
2012.0,9.0,50.0,11.0,2855.0,2805.426025390625
2012.0,10.0,27.0,21.0,2868.0,2767.575439453125
2012.0,11.0,26.0,21.0,2615.0,2768.7900390625
2012.0,12.0,39.0,21.0,2803.0,2783.832275390625
2012.0,13.0,33.0,21.0,2711.0,2780.125732421875
2012.0,14.0,33.0,20.0,2935.0,2784.064208984375
2012.0,15.0,32.0,20.0,3098.0,2785.279296875
2012.0,16.0,32.0,20.0,3056.0,2787.483642578125
2012.0,17.0,48.0,20.0,3022.0,2805.47021484375
2012.0,18.0,32.0,20.0,3090.0,2791.889892578125
2012.0,19.0,33.0,19.0,3100.0,2796.81640625
2012.0,20.0,33.0,19.0,3167.0,2799.0185546875
2012.0,21.0,25.0,19.0,2982.0,2793.2509765625
2012.0,22.0,35.0,19.0,2719.0,2805.406982421875
2012.0,23.0,28.0,8.0,2550.0,2819.643310546875
2012.0,24.0,32.0,8.0,2495.0,2825.86279296875
2012.0,25.0,27.0,8.0,2381.0,2823.027099609375
2012.0,26.0,47.0,8.0,2471.0,2845.26953125
2012.0,27.0,27.0,17.0,2597.0,2811.875244140625
2012.0,28.0,27.0,17.0,2949.0,2814.06884765625
2012.0,29.0,28.0,17.0,3168.0,2817.263916015625
2012.0,30.0,36.0,17.0,3214.0,2827.458251953125
2012.0,31.0,35.0,17.0,2980.0,2828.655029296875
2012.0,32.0,35.0,12.0,2857.0,2839.514404296875
2012.0,33.0,34.0,12.0,2650.0,2840.703857421875
2012.0,34.0,35.0,12.0,2669.0,2843.900146484375
2012.0,35.0,35.0,12.0,2533.0,2846.091552734375
2012.0,36.0,44.0,10.0,2343.0,2860.78173828125
2012.0,37.0,43.0,10.0,2619.0,2861.97412109375
2012.0,38.0,47.0,10.0,2579.0,2868.17138671875
2012.0,39.0,43.0,10.0,2517.0,2866.358154296875
2012.0,40.0,39.0,13.0,2575.0,2859.32470703125
2012.0,41.0,43.0,13.0,2638.0,2865.52490234375
2012.0,42.0,30.0,13.0,2695.0,2854.633544921875
2012.0,43.0,31.0,13.0,2768.0,2857.8271484375
2012.0,44.0,22.0,13.0,2605.0,2850.88671875
2012.0,45.0,25.0,22.0,2578.0,2840.588623046875
2012.0,46.0,29.0,22.0,2581.0,2846.795654296875
2012.0,47.0,27.0,22.0,2504.0,2846.961669921875
2012.0,48.0,39.0,22.0,2542.0,2861.18994140625
2012.0,49.0,23.0,22.0,2681.0,2847.277587890625
2012.0,50.0,23.0,22.0,2604.0,2849.45263671875
2012.0,51.0,22.0,22.0,2497.0,2850.6142578125
2012.0,52.0,21.0,22.0,2812.0,2851.773193359375
2013.0,1.0,24.0,15.0,3022.0,2755.784912109375
2013.0,2.0,27.0,15.0,3120.0,2760.965576171875
2013.0,3.0,25.0,15.0,3133.0,2761.193115234375
2013.0,4.0,23.0,15.0,3190.0,2761.415771484375
2013.0,5.0,23.0,15.0,3036.0,2763.6220703125
2013.0,6.0,18.0,22.0,2599.0,2748.81494140625
2013.0,7.0,20.0,22.0,3033.0,2752.99951171875
2013.0,8.0,33.0,22.0,2942.0,2768.041015625
2013.0,9.0,42.0,22.0,2753.0,2779.085205078125
2013.0,10.0,27.0,10.0,2713.0,2787.25537109375
2013.0,11.0,24.0,10.0,2500.0,2786.46142578125
2013.0,12.0,26.0,10.0,2148.0,2790.66455078125
2013.0,13.0,36.0,10.0,2343.0,2802.841796875
2013.0,14.0,32.0,19.0,2395.0,2785.490478515625
2013.0,15.0,29.0,19.0,2500.0,2784.719970703125
2013.0,16.0,37.0,19.0,2688.0,2794.8466796875
2013.0,17.0,40.0,19.0,2699.0,2800.0146484375
2013.0,18.0,26.0,19.0,2854.0,2788.340576171875
2013.0,19.0,23.0,17.0,2747.0,2790.994384765625
2013.0,20.0,29.0,17.0,2519.0,2799.18115234375
2013.0,21.0,35.0,17.0,2726.0,2807.351318359375
2013.0,22.0,31.0,17.0,2733.0,2805.57177734375
2013.0,23.0,27.0,12.0,2434.0,2812.409423828125
2013.0,24.0,79.0,12.0,2330.0,2865.93505859375
2013.0,25.0,116.0,12.0,2755.0,2903.53564453125
2013.0,26.0,52.0,12.0,2413.0,2843.9189453125
2013.0,27.0,26.0,15.0,2368.0,2815.00634765625
2013.0,28.0,26.0,15.0,2371.0,2817.197998046875
2013.0,29.0,26.0,15.0,2543.0,2819.38916015625
2013.0,30.0,29.0,15.0,2423.0,2824.5927734375
2013.0,31.0,23.0,15.0,2476.0,2820.750732421875
2013.0,32.0,23.0,15.0,2426.0,2822.9384765625
