year,week,psi,rain,patient,result
2012.0,1.0,27.0,16.0,2932.0,2703.8515625
2012.0,2.0,22.0,16.0,3189.0,2711.858154296875
2012.0,3.0,31.0,16.0,3185.0,2703.297607421875
2012.0,4.0,23.0,16.0,4001.0,2714.857177734375
2012.0,5.0,25.0,16.0,3356.0,2714.5859375
2012.0,6.0,27.0,11.0,3358.0,2712.38330078125
2012.0,7.0,30.0,11.0,3033.0,2710.9267578125
2012.0,8.0,25.0,11.0,2953.0,2718.9267578125
2012.0,9.0,50.0,11.0,2855.0,2691.33447265625
2012.0,10.0,27.0,21.0,2868.0,2724.61572265625
2012.0,11.0,26.0,21.0,2615.0,2727.8837890625
2012.0,12.0,39.0,21.0,2803.0,2714.62744140625
2012.0,13.0,33.0,21.0,2711.0,2723.81884765625
2012.0,14.0,33.0,20.0,2935.0,2725.5244140625
2012.0,15.0,32.0,20.0,3098.0,2728.796630859375
2012.0,16.0,32.0,20.0,3056.0,2730.889404296875
2012.0,17.0,48.0,20.0,3022.0,2714.065673828125
2012.0,18.0,32.0,20.0,3090.0,2735.07373046875
2012.0,19.0,33.0,19.0,3100.0,2735.60107421875
2012.0,20.0,33.0,19.0,3167.0,2737.693359375
2012.0,21.0,25.0,19.0,2982.0,2749.162109375
2012.0,22.0,35.0,19.0,2719.0,2739.527099609375
2012.0,23.0,28.0,8.0,2550.0,2745.568115234375
2012.0,24.0,32.0,8.0,2495.0,2742.9658203125
2012.0,25.0,27.0,8.0,2381.0,2750.91162109375
2012.0,26.0,47.0,8.0,2471.0,2729.48291015625
2012.0,27.0,27.0,17.0,2597.0,2758.564208984375
2012.0,28.0,27.0,17.0,2949.0,2760.649658203125
2012.0,29.0,28.0,17.0,3168.0,2761.568603515625
2012.0,30.0,36.0,17.0,3214.0,2754.30908203125
2012.0,31.0,35.0,17.0,2980.0,2757.5693359375
2012.0,32.0,35.0,12.0,2857.0,2757.71533203125
2012.0,33.0,34.0,12.0,2650.0,2760.97265625
2012.0,34.0,35.0,12.0,2669.0,2761.892822265625
2012.0,35.0,35.0,12.0,2533.0,2763.980712890625
2012.0,36.0,44.0,10.0,2343.0,2754.7626953125
2012.0,37.0,43.0,10.0,2619.0,2758.0283203125
2012.0,38.0,47.0,10.0,2579.0,2755.431640625
2012.0,39.0,43.0,10.0,2517.0,2762.213623046875
2012.0,40.0,39.0,13.0,2575.0,2770.145263671875
2012.0,41.0,43.0,13.0,2638.0,2767.566162109375
2012.0,42.0,30.0,13.0,2695.0,2784.776123046875
2012.0,43.0,31.0,13.0,2768.0,2785.699462890625
2012.0,44.0,22.0,13.0,2605.0,2798.169189453125
2012.0,45.0,25.0,22.0,2578.0,2800.281005859375
2012.0,46.0,29.0,22.0,2581.0,2797.750244140625
2012.0,47.0,27.0,22.0,2504.0,2802.132568359375
2012.0,48.0,39.0,22.0,2542.0,2790.35595703125
2012.0,49.0,23.0,22.0,2681.0,2810.877685546875
2012.0,50.0,23.0,22.0,2604.0,2812.95068359375
2012.0,51.0,22.0,22.0,2497.0,2816.167236328125
2012.0,52.0,21.0,22.0,2812.0,2819.38134765625
2013.0,1.0,24.0,15.0,3022.0,2708.0146484375
2013.0,2.0,27.0,15.0,3120.0,2706.5556640625
2013.0,3.0,25.0,15.0,3133.0,2711.013427734375
2013.0,4.0,23.0,15.0,3190.0,2715.466064453125
2013.0,5.0,23.0,15.0,3036.0,2717.55517578125
2013.0,6.0,18.0,22.0,2599.0,2728.228759765625
2013.0,7.0,20.0,22.0,3033.0,2727.96533203125
2013.0,8.0,33.0,22.0,2942.0,2714.729736328125
