year,week,psi,rain,patient,result
2012.0,1.0,27.0,16.0,2932.0,2711.757568359375
2012.0,2.0,22.0,16.0,3189.0,2717.482666015625
2012.0,3.0,31.0,16.0,3185.0,2712.536865234375
2012.0,4.0,23.0,16.0,4001.0,2720.53369140625
2012.0,5.0,25.0,16.0,3356.0,2720.9189453125
2012.0,6.0,27.0,11.0,3358.0,2736.0625
2012.0,7.0,30.0,11.0,3033.0,2735.70458984375
2012.0,8.0,25.0,11.0,2953.0,2741.34033203125
2012.0,9.0,50.0,11.0,2855.0,2724.476318359375
2012.0,10.0,27.0,21.0,2868.0,2714.2333984375
2012.0,11.0,26.0,21.0,2615.0,2716.892333984375
2012.0,12.0,39.0,21.0,2803.0,2708.919189453125
2012.0,13.0,33.0,21.0,2711.0,2715.381103515625
2012.0,14.0,33.0,20.0,2935.0,2720.208740234375
2012.0,15.0,32.0,20.0,3098.0,2722.856689453125
2012.0,16.0,32.0,20.0,3056.0,2724.747314453125
2012.0,17.0,48.0,20.0,3022.0,2714.57568359375
2012.0,18.0,32.0,20.0,3090.0,2728.520263671875
2012.0,19.0,33.0,19.0,3100.0,2732.5751953125
2012.0,20.0,33.0,19.0,3167.0,2734.453369140625
2012.0,21.0,25.0,19.0,2982.0,2742.28857421875
2012.0,22.0,35.0,19.0,2719.0,2736.71337890625
2012.0,23.0,28.0,8.0,2550.0,2775.905517578125
2012.0,24.0,32.0,8.0,2495.0,2774.842041015625
2012.0,25.0,27.0,8.0,2381.0,2780.305908203125
2012.0,26.0,47.0,8.0,2471.0,2767.63720703125
2012.0,27.0,27.0,17.0,2597.0,2757.758544921875
2012.0,28.0,27.0,17.0,2949.0,2759.604736328125
2012.0,29.0,28.0,17.0,3168.0,2760.716064453125
2012.0,30.0,36.0,17.0,3214.0,2756.701416015625
2012.0,31.0,35.0,17.0,2980.0,2759.281494140625
2012.0,32.0,35.0,12.0,2857.0,2775.6748046875
2012.0,33.0,34.0,12.0,2650.0,2778.22802734375
2012.0,34.0,35.0,12.0,2669.0,2779.33544921875
2012.0,35.0,35.0,12.0,2533.0,2781.1611328125
2012.0,36.0,44.0,10.0,2343.0,2782.353271484375
2012.0,37.0,43.0,10.0,2619.0,2784.89697265625
2012.0,38.0,47.0,10.0,2579.0,2783.857421875
2012.0,39.0,43.0,10.0,2517.0,2788.540771484375
2012.0,40.0,39.0,13.0,2575.0,2784.49072265625
2012.0,41.0,43.0,13.0,2638.0,2783.445556640625
2012.0,42.0,30.0,13.0,2695.0,2794.531494140625
2012.0,43.0,31.0,13.0,2768.0,2795.621337890625
2012.0,44.0,22.0,13.0,2605.0,2803.78857421875
2012.0,45.0,25.0,22.0,2578.0,2777.69091796875
2012.0,46.0,29.0,22.0,2581.0,2776.62060546875
2012.0,47.0,27.0,22.0,2504.0,2779.861083984375
2012.0,48.0,39.0,22.0,2542.0,2773.048828125
2012.0,49.0,23.0,22.0,2681.0,2786.317138671875
2012.0,50.0,23.0,22.0,2604.0,2788.107177734375
2012.0,51.0,22.0,22.0,2497.0,2790.605712890625
2012.0,52.0,21.0,22.0,2812.0,2793.099609375
2013.0,1.0,24.0,15.0,3022.0,2716.4150390625
2013.0,2.0,27.0,15.0,3120.0,2716.04150390625
2013.0,3.0,25.0,15.0,3133.0,2719.47021484375
2013.0,4.0,23.0,15.0,3190.0,2722.89013671875
2013.0,5.0,23.0,15.0,3036.0,2724.789306640625
2013.0,6.0,18.0,22.0,2599.0,2709.99072265625
2013.0,7.0,20.0,22.0,3033.0,2710.365966796875
2013.0,8.0,33.0,22.0,2942.0,2702.341064453125
2013.0,9.0,42.0,22.0,2753.0,2697.369384765625
2013.0,10.0,27.0,10.0,2713.0,2745.953369140625
2013.0,11.0,24.0,10.0,2500.0,2750.059326171875
2013.0,12.0,26.0,10.0,2148.0,2750.4482421875
2013.0,13.0,36.0,10.0,2343.0,2744.901123046875
2013.0,14.0,32.0,19.0,2395.0,2723.30908203125
2013.0,15.0,29.0,19.0,2500.0,2727.455322265625
2013.0,16.0,37.0,19.0,2688.0,2723.326904296875
2013.0,17.0,40.0,19.0,2699.0,2722.962646484375
2013.0,18.0,26.0,19.0,2854.0,2735.342041015625
2013.0,19.0,23.0,17.0,2747.0,2745.26708984375
2013.0,20.0,29.0,17.0,2519.0,2742.67578125
2013.0,21.0,35.0,17.0,2726.0,2740.087158203125
2013.0,22.0,31.0,17.0,2733.0,2744.924072265625
2013.0,23.0,27.0,12.0,2434.0,2764.30908203125
2013.0,24.0,79.0,12.0,2330.0,2727.829833984375
2013.0,25.0,116.0,12.0,2755.0,2702.12890625
2013.0,26.0,52.0,12.0,2413.0,2751.556640625
2013.0,27.0,26.0,15.0,2368.0,2763.686279296875
2013.0,28.0,26.0,15.0,2371.0,2765.525634765625
2013.0,29.0,26.0,15.0,2543.0,2767.3623046875
2013.0,30.0,29.0,15.0,2423.0,2767.01416015625
2013.0,31.0,23.0,15.0,2476.0,2773.204833984375
2013.0,32.0,23.0,15.0,2426.0,2775.029541015625
2013.0,33.0,25.0,15.0,2700.0,2775.406005859375
2013.0,34.0,28.0,15.0,2565.0,2775.059326171875
2013.0,35.0,27.0,15.0,2380.0,2777.603759765625
2013.0,36.0,18.0,19.0,2262.0,2774.417724609375
2013.0,37.0,25.0,19.0,2211.0,2771.167724609375
2013.0,38.0,27.0,19.0,2373.0,2771.539794921875
2013.0,39.0,34.0,19.0,2180.0,2768.294921875
2013.0,40.0,26.0,19.0,2301.0,2775.895263671875
2013.0,41.0,25.0,19.0,2429.0,2778.426025390625
2013.0,42.0,23.0,19.0,2429.0,2781.66943359375
2013.0,43.0,30.0,19.0,2401.0,2778.4501953125
2013.0,44.0,28.0,19.0,2155.0,2781.692138671875
2013.0,45.0,28.0,22.0,3018.0,2774.9208984375
2013.0,46.0,23.0,22.0,2494.0,2780.316650390625
2013.0,47.0,21.0,22.0,2576.0,2783.54443359375
2013.0,48.0,20.0,22.0,2363.0,2786.051513671875
2013.0,49.0,18.0,22.0,2526.0,2789.263916015625
2013.0,50.0,24.0,21.0,2509.0,2789.617431640625
2013.0,51.0,20.0,21.0,2458.0,2794.24072265625
2013.0,52.0,33.0,21.0,2605.0,2786.79638671875
2014.0,1.0,27.0,5.0,2766.0,2743.168212890625
2014.0,2.0,25.0,5.0,2805.0,2746.552490234375
2014.0,3.0,32.0,5.0,3124.0,2743.2197265625
2014.0,4.0,36.0,5.0,3288.0,2742.1279296875
2014.0,5.0,27.0,5.0,3242.0,2750.71875
2014.0,6.0,32.0,1.0,3200.0,2760.7880859375
2014.0,7.0,32.0,1.0,2793.0,2762.664306640625
2014.0,8.0,34.0,1.0,2590.0,2763.06787109375
